Infinitive,Mood,Tense,1s,2s,3s,1p,3p
Abandonar,Indicative,Present,abandono,abandonas,abandona,abandonamos,abandonan
Abandonar,Indicative,Preterite,abandoné,abandonaste,abandonó,abandonamos,abandonaron
Abandonar,Indicative,Imperfect,abandonaba,abandonabas,abandonaba,abandonábamos,abandonaban
Abandonar,Indicative,Present Continuous,estoy abandonando,estás abandonando,está abandonando,estamos abandonando,están abandonando
Abandonar,Indicative,Informal Future,voy a abandonar,vas a abandonar,va a abandonar,vamos a abandonar,van a abandonar
Abandonar,Indicative,Future,abandonaré,abandonarás,abandonará,abandonaremos,abandonarán
Abandonar,Indicative,Conditional,abandonaría,abandonarías,abandonaría,abandonaríamos,abandonarían
Abandonar,Indicative,Present Perfect,he abandonado,has abandonado,ha abandonado,hemos abandonado,han abandonado
Abandonar,Indicative,Past Perfect,había abandonado,habías abandonado,había abandonado,habíamos abandonado,habían abandonado
Abandonar,Indicative,Future Perfect,habré abandonado,habrás abandonado,habrá abandonado,habremos abandonado,habrán abandonado
Abandonar,Indicative,Conditional Perfect,habría abandonado,habrías abandonado,habría abandonado,habríamos abandonado,habrían abandonado
Abandonar,Subjunctive,Present,abandone,abandones,abandone,abandonemos,abandonen
Abandonar,Subjunctive,Imperfect,abandonara,abandonaras,abandonara,abandonáramos,abandonaran
Abandonar,Subjunctive,Future,abandonare,abandonares,abandonare,abandonáremos,abandonaren
Abandonar,Subjunctive,Present Perfect,haya abandonado,hayas abandonado,haya abandonado,hayamos abandonado,hayan abandonado
Abandonar,Subjunctive,Past Perfect,hubiera abandonado,hubieras abandonado,hubiera abandonado,hubiéramos abandonado,hubieran abandonado
Abandonar,Subjunctive,Future Perfect,hubiere abandonado,hubieres abandonado,hubiere abandonado,hubiéremos abandonado,hubieren abandonado
Abandonar,Imperative,Affirmative,-,abandona,abandone,abandonemos,abandonen
Abandonar,Imperative,Negative,-,no abandones,no abandone,no abandonemos,no abandonen
Abrazar,Indicative,Present,abrazo,abrazas,abraza,abrazamos,abrazan
Abrazar,Indicative,Preterite,abracé,abrazaste,abrazó,abrazamos,abrazaron
Abrazar,Indicative,Imperfect,abrazaba,abrazabas,abrazaba,abrazábamos,abrazaban
Abrazar,Indicative,Present Continuous,estoy abrazando,estás abrazando,está abrazando,estamos abrazando,están abrazando
Abrazar,Indicative,Informal Future,voy a abrazar,vas a abrazar,va a abrazar,vamos a abrazar,van a abrazar
Abrazar,Indicative,Future,abrazaré,abrazarás,abrazará,abrazaremos,abrazarán
Abrazar,Indicative,Conditional,abrazaría,abrazarías,abrazaría,abrazaríamos,abrazarían
Abrazar,Indicative,Present Perfect,he abrazado,has abrazado,ha abrazado,hemos abrazado,han abrazado
Abrazar,Indicative,Past Perfect,había abrazado,habías abrazado,había abrazado,habíamos abrazado,habían abrazado
Abrazar,Indicative,Future Perfect,habré abrazado,habrás abrazado,habrá abrazado,habremos abrazado,habrán abrazado
Abrazar,Indicative,Conditional Perfect,habría abrazado,habrías abrazado,habría abrazado,habríamos abrazado,habrían abrazado
Abrazar,Subjunctive,Present,abrace,abraces,abrace,abracemos,abracen
Abrazar,Subjunctive,Imperfect,abrazara,abrazaras,abrazara,abrazáramos,abrazaran
Abrazar,Subjunctive,Future,abrazares,abrazares,abrazares,abrazáremos,abrazares
Abrazar,Subjunctive,Present Perfect,haya abrazado,hayas abrazado,haya abrazado,hayamos abrazado,hayan abrazado
Abrazar,Subjunctive,Past Perfect,hubiera abrazado,hubieras abrazado,hubiera abrazado,hubiéramos abrazado,hubieran abrazado
Abrazar,Subjunctive,Future Perfect,hubiere abrazado,hubieres abrazado,hubiere abrazado,hubiéremos abrazado,hubieren abrazado
Abrazar,Imperative,Affirmative,-,abraza,abrace,abracemos,abracen
Abrazar,Imperative,Negative,-,no abraces,no abrace,no abracemos,no abracen
Abrir,Indicative,Present,abro,abres,abre,abrimos,abren
Abrir,Indicative,Preterite,abrí,abriste,abrió,abrimos,abrieron
Abrir,Indicative,Imperfect,abría,abrías,abría,abríamos,abrían
Abrir,Indicative,Present Continuous,estoy abriendo,estás abriendo,está abriendo,estamos abriendo,están abriendo
Abrir,Indicative,Informal Future,voy a abrir,vas a abrir,va a abrir,vamos a abrir,van a abrir
Abrir,Indicative,Future,abriré,abrirás,abrirá,abriremos,abrirán
Abrir,Indicative,Conditional,abriría,abrirías,abriría,abriríamos,abrirían
Abrir,Indicative,Present Perfect,he abierto,has abierto,ha abierto,hemos abierto,han abierto
Abrir,Indicative,Past Perfect,había abierto,habías abierto,había abierto,habíamos abierto,habían abierto
